,tweet_text,sentiment
65833,un capitano c e solo capitano campo finalmente aggiunge fuori amala sempre ,1
147551,sei grande stimo,1
91032,per nn capisce dio grande giustamente giusta ricompensa ,1
65831,tu l ambasciatrice rivendicazione dell ommita foto meritata palma regina femminita mua ,1
15916,siete stupendi ,1
15921,tanti auguri buon compleanno ,1
65826,il ritorno juventus rottura societa soprattutto l allenatore vedremo fattibile certo fantastico pogba,1
15872,sono contenta letto parole grazie ancora ,1
65908,alle belle storielle instagram gentaglia varia bisognerebbe rispondere immagine sezione femminile liberi nantes penso servano altre parole decisamente meglio fomentazione odio parte giocatori tifosi juventus,1
90996,fabio gioca sino quando gambe reggono supplico devi fare sai fare rappresenti ultimi grandi scorsa calcistica voglio quell era venga dimenticata vero giocatore calcio genio artista ,1
90995,buon anno fede ,1
15812,se comprato 6 anni fa impazziti tutti speriamo possa deliziarci lungo benvenuto roma fenomeno,1
65903,teo voglio bene ,1
65900,tare bravo ,1
147650,complimenti stagione fantastica resta noi,1
90956,benissimo auguri ,1
147648,bravo capitaine ,1
65895,nessuno amera piu amore limpido puro incondizionato uomo fortunato,1
65894,un grande professionista napoli re juve messo servizio squadra senza mai protesta polemica piacerebbe restasse amo moltissimo io,1
90964, napoletano dico grazie storia grandissima rispetto sinceramente grazie kk ragazzo perbene meritava cio ,1
15831,il migliore campo grande daniele ,1
147636,sto morendo grande salvatore ,1
15834,io pure dispiace voglio bene,1
65887,senza gol qielli qualcun altro state incensando ottimo finalizzatore ma scioglie momenti chiave oggi ulteriore dimostrazione ,1
147628,spettacolare ,1
147626,ciao luka volevo farti complimenti stagione grandiosa fatto stato davvero forte decisivo penso pallone doro meriti chissa magari incontreremo ancora vincitori volta ,1
15844,sei grande sei napoletano dentro fuori ,1
15848,che bella auguri douglas ,1
15849,ti vogliamo bene campione ,1
65875,e napoletani orgogliosi fieri d averti napoli ama resto solo munnezz,1
90980,cmq presenta perdono promesso ,1
147615,per me rimane gol tvb joya ,1
90981,tutti piedi mario ora forza domenica football is far from home ,1
90982,fernando sempre noi ,1
90986,grande matt sempre meglio ,1
90987,rafinha aspettaci tifosi vogliamo ancora qui all inter questi colori belli mondo sai ,1
147607,auguri juan buon compleanno campione fino fine,1
90990,bringbackrafinha diverte stagione ,1
147600,grazie ,1
91252,grande mario proprio piero momenti apparentemente bui risolve colpo classe risolve tutto,1
15180,complimenti tanta felicita piccola alma genitori ,1
66385,grazie gobbo vero ,1
66867,moro bello biondo dona ,1
14534,grandissimo marione grinta cuore ,1
14538,rituittami minchia ahahahhaha,1
149115,oltre campione grande uomo repost get repost mondo calcio vorreberro sempre educazione rispetto no al,1
14540,pensa ancora noi facciamolo contento riportiamolo casa s siro aspetta 8 todosjuntos amala,1
66856,sono credibile originale stile juve ,1
66854,magnifico ,1
89899,dajeee vogliamo 11 gladiatori quest anno ancora dell anno scorso forza roma sempre,1
66852,torna edy ora momento tocca te tocca noi vamos forza napoli cavanihasegnatoancora,1
149104,napoli aspetta napoli ama napoli vuole ,1
149102,tutto bello annunciate perfetto rafinha,1
89903,no vabbe posso credere grazie grande stagione ,1
149126,benvenuto ora mani grandissimo bocca lupo ,1
66847,io quando c era metterci sempre fatto grazie molto altro ,1
89914,auguroniiiiiii adorato juan ti vuole bene panita ,1
89918,mamma figata grande lavoro,1
89919,finalmente vedo indossare maglia emozionata ,1
149081,complimenti arrivati secondi stati grandi felice segnato gol grande,1
66832,io amo sempre credo arrivato momento ritornare contestare,1
14573,e orgogliosi te mollare vai avanti forzanapolisempre,1
89926,grande proprio ragione sempre noi well miss u ,1
149072,medhi super bocca lupo te zii grandissima forza ,1
66828,bello eddede,1
66825,non capiro mai linter venduto nagatomo grande calciatore amala,1
66823,siete bellissimi vi amo xke difendere colore kk26 difendete davvero anke citta ,1
66822,puoi comprare pare radja resta roma grande radja daje roma,1
149095,juan buon mondiale voglio bene ,1
66869,pippo servi tu aiutaci sfondiamo editorna torna quando vado scuola mattina chiamo ogni giorno radio ,1
89884,da interista complimenti l acquisto numero 2 mondo ,1
89883,non vedo lora vederlo segnare maglia juve grazie aver realizzato sogno,1
89837,io contento,1
14467,per me l anno prossimo puo andare persino juve gliene colpa grazie ,1
149191,era meglio anno domiciliari voglio bene tanti auguri pipa ,1
14473,grande partita dell giocatore ,1
149184,saro pazzo me twitt intrigante lascia intendere qualche sorpresa qui aspettiamo sereni presidente sorprenda sempre forza napoliiiiiiiii,1
89847,ti amo ,1
66903,premetto interista influenza ragionamento grande campione soliti vigliacchi nessuno mai coraggio insultarti faccia forza kk,1
66902,che coppa mondo mano canta itscominghome geniale ahahah pleasecomebackpaul,1
14484,dicceli motivi telecronaca andasse meno contestata parliamo 3 2 emozionante decisivo arbitrato benissimo 5 0 novembre senza alcun significato simbolico adora tizio caio mal digerisce sempronio differenze,1
149172,radja resisti rimani vuoi puoi ,1
149171,grande marionette noi,1
149167,impossibile tifare impossibile abbandonare tutto qualcuno meriterebbe campo va maglia societa posso amarla ,1
66889,forza juve cristiano siiiiiiiiiiiii ,1
149160,te amo vini ,1
66887,ahi ahi proprio confronto fra sentiti p,1
149155,abbiamo chiesto tre grandi chef italiani aiutare piatto preferito ecco pollo dietetico gustoso cr7,1
66882,senza retorica grazie asa averci regalato anni splendidi inter preso grande giocatore grande uomo ,1
149150,ben detto ben tornato,1
66881,cr7 stato fantastico vinto tutto,1
66880,gioia allegria classe talento velocita gol auguri juan ,1
89875,ti diro potresti occhio essere figlio penare juve gia gran peso detto questo tutta leggerezza dico sarcasmo rende sereni migliora vita battute scritto nessun manuale devono forza piacere,1
14517,ha perso dignita danno chiaramente fastidio certi complimenti napoli squadra paragonato circo campionato ora chiede rispetto stessa coerenza chiellini insomma ,1
89878,grande dries proprio ragione koulibaly uomo vero ,1
149137,mi adolo iker grande ,1
149136,ma soprattutto edin dzeco fortissimo ,1
149135,die brevi intensi anni addio voluto accettato denti stretti gol napoli wembley lultimo meraviglioso linter dimentichero mai pipa tanti auguri buon compleanno ,1
14519,piu altro davvero vero vorrei vedere te altri rosiconi continuate ridere ancora keep calm rosica meno ,1
66821,secondo me stati mondiali belli 2018,1
89938,editorna allaeroporto aspettando te ,1
14590,peccato pagliaccio critica calcio giocato vinto molto lui,1
89940,e parla italiano molto meglio tanti spalti ieri sera ,1
89978,internapoli cori razzisti sono orgoglioso colore pelle essere francese senegalese napoletano uomo solidarieta squadra citta beceri razzisti sempre minoranza facciamorete siamotuttikoulibaly,1
148996,scusaci cosi devi ascoltare persone ignorati continua cosi grandi cose ,1
66785,grazie mancherai radja nainggolan,1
148990,ah quindi giocava solo giorno capira calcio sport squadra che volte importante educare gruppo basarsi singolo giocatore roma potra crescere ancora cosa positiva all interno societa sembrano averlo capito ,1
14641,buon compleanno fatto stragodere ,1
148987,niente complimentiairagazzi oggi forse solo complimenti youngboysjuventus,1
14650,per me prende altro centrocampo messi bene serve sostituto andra united,1
14651,grande daniele mollare juve grande carriera ,1
148975,grande tagliato barba finalmente,1
14656,grazie juan adesso auguro grande mondiale colombia tifero te ,1
148973,complimenti signorilita contraddistingue sempre,1
148972,lo meritato gol ,1
148971,ma adesso tengono buon lavoro ,1
148966,editorna torna ediiiiii tornaaaaaaaaaa maronnn impazzendo scritto mille cose stamattina ,1
14663,non dimentichero mai volta pepe mise cuore twitt un emozione grandissima dimentichero essere stato trascinatore punto riferimento mancherai te ritorna sempre qui troverai ,1
90000,visto parecchie volte fa impazzire sa fare tutto rimasto impresso quando l atalanta pareva magari prendessimo ,1
148956,grandissimo gesto grandissimo giocatore grandissima persona bravo,1
14675,siete fantastici vedervi cosi affiatati gioia noi sft,1
14676,e potere venditore rifiuti 70 milioni allison puoi offrirgli stipendio pari valore ecco perche roma vale 40 vende,1
148949,buona domenica nostri ragazzi sarri ancelotti buona domenica tifosi grande napoli ,1
148948,sei grande dimostrato meritare mondiale worldcup forzanapoli,1
66756,negli uffici uefa effettivamente fortissimi elrobodelsiglo criminal ,1
148942,dispiace parte higuain innegabile fin ora soddisfatto aspettative,1
148938,ciao ninja finalmente diventerai neroazzurro spara due bei siluri all incrocio adesso juventini dai radjaaa forza interrr ,1
90016,grande uomo ,1
14686,grazie essere qui averci scelto ,1
148933,beh lhanno visto tutti e sembrava cosi felice contenti voi,1
14634,ti meriti affetto persona speciale ,1
14461,mister raccomando continuate squillo luck prima finale portafortuna juveworldcup,1
89976,siete fortissimi voglio gran bene aspetto casa super pizza,1
14630,auguri gonzalo splendida notizia ,1
14592,lo aspettiamo volentieri,1
149055,vamos prima volta grazie te tifero felicemente selection,1
89942,scarto forse lei quando rai decidera sempre troppo tardi pipita mai scarto grati higuain 2 anni aiutato vincere memorabili numerose pere naples zampata san siro relativo crollo naples ,1
149052,buon anno ,1
89943,amatelo rispettatelo radia vero ,1
149047,partita perfetta l inter bravissimo continua cosi ,1
149045,finalmente vede accanto splendida ragazza amala,1
149044,ci mancherai pepe grazie tutto professionalita carisma ,1
66810,sei davvero grande sempre onorato maglia mai tirato indietro resterai sempre noi ciao ninja ,1
66808,editorna fa francia napoli mare bello pizza ja forz,1
89950,edi napoli casa tua figli napoletani tifosi napoli regalaci gioia torna giocare noi ,1
149040,beinelclub magia ,1
14604,grande partita juvesamp,1
14605,cara annarella ogni tifoseria mele marce fare tutta lerba fascio rende certo diversa loro detto cio dubbi ossessione chi visto presidente attaccante parlano solo juve,1
149036,mi rincresce deluderla cosi futuro alleghero prove seinteressa,1
149031,grazie rafi tutto vogliamo prossimo anno ,1
149030,voglio conoscere personalmente tifosi applaudito stadium abbracciarli ad uno merito vostro cr7allajuve cristianoronaldo cristianoronaldoallajuve graziepresidente,1
149029,grazie infinite partecipare insieme christmasjumperday l evento divertente dell anno permette indossare maglione dare bambini futuro migliore ,1
89955,voglio raccomando prendi portiere decente vist sfunnat meret grazie ,1
89959,ah altro assist molto bello limiti tecnici resta affidabile pochi amala,1
149021,pogback aspettiamo campione mondo ,1
14617,certi amori finiscono giri immensi poi ritornano amori indivisibili indissolubili inseparabili editorna,1
89962,mah onestamente sembra episodio facile lettura delusione enorme tifoso capisco tutto detto cio l episodio lampante molto chiaro ,1
149016,grandissimo croazia finale croeng croaziainghilterra mandzukic,1
89963,grande vai insegnare tiri mozzarella realta parallela spero dopo parole detto l multi davvero auguro splendida carriera proporzionale rispetto mostrato squadra ,1
89967,ritorno legenda forza juve benvenuti finoallafine,1
149010,bravo mire io tifosa l ho interpretata tutt altro modo vista l inferiorita numerica svantaggio un punto guadagnato pensato amo mentalita voler mai lasciare niente strada vede sempre fame ed giusto cosi finoallafine,1
66789,naingolan campione vero pallotta mandato via romanista sempre pallotta perdonero mai ,1
14690,incredibile far giocare posto centrocampo burro belgium redevils bel tun beltun,1
14458,complimenti grande capitano milan skriniar loro,1
66921,buon pomeriggio amici azzurri ,1
89682,ciao ninja grazie tutto partite giocate cuore momenti meno brillanti botte matto soprattutto dellamore sempre mostrato mancherai nainggolan ,1
149395,povero carletto tutta simpatia napoletani adl autentico tamarro,1
14292,buonanotte solo meraviglioso unproblematic,1
149390,ciao radja stato grande arrivederci campione,1
67041,vecchio cuore azzurro ciruzzo bel goal solita simulazione ,1
14300,la cosa me fa mori ogni volta stessa foto stessa espressione stra soddisfatta ,1
14303,il gol numero 5000 storia juventus bellissimo joya ,1
149379,sei migliore acquisto ultimi anni continua cosi ,1
14305,non vediamo lora vederti campo congratulazioni complimenti vivissimi,1
149377,non importa maglia quando campioni bisogna avere rispetto auguri campione ,1
149372,chi sente maglia seconda pelle puo essere lasciato fuori casa riprendirafinha amala proviamoci favore,1
67029,siamo te ,1
149403,tanti auguri buon compleanno tanquito ,1
149370,e niente portato lesperienza europea proprie squadre puahhhhh liverpoolnapoli interpsv,1
67025,non vedo l ora vedere l intervista bud spencer giuntoli arrivare domanda c e vero domanda remake altrimenti arrabbiamo ,1
149362,grazie benvenuto campione,1
149361,spero cambi idea resta roma popolo giallorosso vuole qui roma ,1
14320,a me basta godere stasera prescritti terroni fuori coglioni buon natale tutti ,1
14321,sono nizza appena visto tutte due azione ragione vogliono simulazione geniale gol dries unico ,1
67021,ecco ora e ufficiale puo commentare benvenuto calciatore adoravo avversario figurati adesso ,1
67020,cosi impariamo mangiarci goal ,1
67013,grazie mito buona fortuna,1
149350,la ringrazio ricambio immutata stima cordiali saluti ,1
149348,luka grandissimo giocatore te meriti forza milan ,1
149347,queste faccende fate incredibili ,1
149346,l incubo sarri sogno l italiano l incedibile sogno,1
67028,altra grande partita bravo forzalazio,1
149407,mi dispiace po iniesta troppo contenta spagna stata eliminata ,1
149408,voi perculate po secondo me quel salvataggio miracoloso 2015 rimasto stomaco ss23 ,1
67054,bravo coperto bene luomo complimenti tutta vita,1
149467,bella partita,1
149466,me auguro glielo auguro bene ,1
67091,ultimamente molto bene ottimo resto dormita generale portata casa ottimo cosi empoliinter empoli inter interfans,1
14231,io sportivo amo calcio attuale schifo,1
14233,sarai sempre vero juventino me buon compleanno pipita finoallafine,1
14234,quindi grazie franciaargentina andra via secondo me ,1
67087,queste foto belle assoluto bentornato ,1
14240,tranquillo partita dopo partita ora pensiamo prima campionato step by step ,1
149454,mi auguro venga riscattato te meriti onori maglia nerazzurra continua cosi,1
14241,non vedo oltraggio 4 anni dato poteva fatto divertire giocate senza mai fare polemica tornera sogno quando andato via fatto motivo condivisibile ,1
14242,stavolta fatto gol congratulazioni tanti auguri,1
89646,per attimo dovrebbero abbandonare rivalita sportive fare complimenti x straordinario colpo,1
14247,sono esageratamente felice dategli pallone d oro ,1
149445,brasile fuori worldcup18 mandata fuori grande belgio finale cambiato match doveva giocare dallinizio,1
149444,grande vittoria seb5 ottimo terzo kimi7 super fatti stessa pasta due pagliacci fenomeni sceneggiate britishgp,1
14252,riposa po panca fa bene,1
149437,grande dani proprio ragione finoallafine forzajuve sempre ,1
89652,da juventino felicissimo serie migliora roma purtroppo milanesi ridere,1
67075,ti davvero bene forza koulibaly ,1
67068, le scarpe rendono elegante giocatore solo dentro rende forte  omaggiamo cosi nuovo acquisto pronto incantare ronaldo ronaldoallajuve ronaldojuventus juventus 11luglio,1
89661,grande samu vogliamo cosi indiavolato ,1
67067,per prima cosa grazie devono riprendere entro 5luglio compleanno ragazzo devo regalare maglia nome vuole prima maglia dellinter amala,1
14268,ma felice cessione sandro molto molto felice soldi per giocatore giocato modo mediocre stagione intera poi se tal paratici spinge penso veda lungo a me sempre piaciuto e noi i giocatori nn scontenti evolvono ,1
14269,ci provato modi farci vincere partita ma gran bomba splendida punizione puniti 91regalandoci vittoria meritata cagliarinapoli 0 1 forzanapolisempre ,1
89670,i veri sportivi amanti calcio possono fare complimenti avere portato campionato cr7 forza napoli sempre ,1
67057,poi cosa bella giocatore fa un ora centravanti resto partita terzino sinistro sinistro sensi ,1
14278,tutto bello perfetto cori sconci abbiamo ,1
149343,grande gesto tutti,1
89724,resta ,1
89725,stai buono sente cerbottana pensa diretto lei magari offende ,1
67010,grazie 7 anni corse bestemmie cross sbagliati successi schema lancio pirlo gol tuo soprattutto primo gol stadium,1
149277,azz ammirevole coraggio ,1
149273,il guerriero super mario we love you ,1
149272,ti amo cazz0,1
66965,caro visto accoglienza riserviamo pochi sentito l affetto visto ancora niente quando vedrai riunione famiglia villar perosa renderai conto amiamo vecchia signora villar perosa segna ,1
89778,pezzo merda rompere l unico centrocampista rimasto interudinese,1
14400,sei grande felice vittoria campo te probabilmente arrivata triste deluso sconfitta fuori stadio pieno gente x bene meritava colpa alcuni forse tanti coglioni parole insegnamento ,1
14401,bellissimi ,1
14403,carissimo andato finire un campione assoluto doveva essere accolto solo inni gioia sti imbecilli invocano l eruzione vesuvio certo prima andare pensione potevi scegliere posto migliore ,1
149258,congratulazioni auguro bene mondo ,1
66959,che idolo capocannoniere per seconda volta grazie capitano ,1
149254,perfetta analisi penso anch io ,1
149252,se sorridi bello c e solo colore bene nero due colori insieme dio vamos amala,1
66948,per me ama calcio impensabile insultare avversario colore pelle razzismo nulla fare sport pallone piedi cosi vita uguali abbraccio grande campione grande uomo ,1
66945,buon compleanno gonzalo ,1
89801,buongiorno ,1
14431,grazie buon anno te ,1
149233,grazie capitano,1
89806,solo quel cesso mourinho riesce far giocare male giocatore meraviglioso torna casa paul perdoniamo,1
66938,con due posso stare tranquillo sempre ,1
14438,siamo koulibaly grazie essere napoletano onore averti citta,1
149222,buon natale leone sempre cuori,1
89816,e poi perdonami talmente piccolo rimangiarsi piu volta cd scelta professionale es culpa quando scelta te assumi paternita responsabilita oblio ora merita ,1
14448,i tifosi fretta dimenticare soprattutto viziati aspettano sempre societa compri sempre forte tutti conta giocare bene avere campioni campo fuori solo mercenari resto tifo ,1
66926,campioni veri uomini veri cr7 aiuta infortunato nonostante portogallo perdendo trafitto gol cavani l altro bellissima scena dovrebbe essere esempio campi calcio solo,1
149213,certo bravo ragazzo mai polemica quindi buon profilo chiunque permette dire pensa sovversivo un montato uno allontanare dopo 5luglio vedremo nuovo belle ,1
149211,nel calcio momenti riesci vincere serve gol permette passare turno vincere partita quando campione genere riesce maniera migliore punizione perfetta 95 vittoria riapre tutto ,1
66923, i mondiali capace vincerli buona fortuna buone vacanze ,1
66972,ci divertiamo mercoledi liberi possiamo fare serate milan voleva presidente,1
89827,sono orgoglioso te essere uomo colore pelle pelle bianca pelle nera dimmi importanza ha con,1
14389,finalmente cosa fatta bene bellissimo bravi ,1
14386,sempre mettere punto tutte caxxate dice gente guaglion stev bbuon altrimenti accorgeva minchiata detto ,1
149339,auguri buon compleanno pipita ,1
89729,eh grande,1
149334,grazie stephan fatto sognare fascia oggi esci storia juventus entri leggenda ,1
89731,adesso dimostra mondo tornato vivo ,1
89732,andrea agnelli anima grande gianni agnelli fino fine forza juveee ,1
14341,il oscar giornalettista fumettista comico sportivo l anno 2018 va complimenti vivissimi continui cosi,1
67005,a tizio visto fare cose incredibili fame taglialegna tipo gattuso circolo migliori 50 storia conta personalita stogioco,1
149327,ferma condanna ogni forma violenza dentro fuori stadio piena solidarieta grande campione esempio correttezza campo dignita umana ,1
149326,che piaccia meno ahahaahha battuta pero seriamente sempre chesto esempio greci chiamano aristotele greco anche vivevano microstati grecia moderna leonardo altri mentre so chiamiamo,1
14346,il grande ds tempi grande monchi,1
149320,esatto tutte cessione bimbi circa 50 bravo ,1
89742,la grande bellezza calcio passa piedi straordinario atleta amore infinito mm17 ,1
14355,e vedrete presto nellinter almeno ve auguro ,1
149312,sei grande,1
89747,certo forte mario forte c e dubbio giocatori bisogna dare riconoscimento meritano,1
14362,quel motto cazzata infatti spagna intera assolutamente dispiaciuta essere andata casa dopo partita l 80 possesso palla giocare bene importante risultato brava spagna ,1
89749,kk pensa tratti razzismo semplicemente fuoriclasse miglior difensore seriea volevano provocarti te dice ammiratore prima ora 3 anni stato leader squadra vincente fantacalcio ,1
66992,solo matador puoi tornare far felici tifosi editorna,1
14367,e quando sa cosa rispondere insulta bravo bravo adesso vai cuccia sti saltelli intorno infastidendo ,1
89754,nn lasciare kuly resta puoi grande calciatore grande uomo,1
149299,da svizzero tifoso juve devo proprio dire spiace partenza auguri futuro ,1
66985,ma senza adl specificate ,1
14382,bravo bel salvataggio ringrazia ,1
66977,ti sempre ammirato sempre cuore mezzo giallo mezzo rosso grande,1
149287,torino e stupenda e solo unicamente secolo,1
149285,ti amiamo fratello ,1
149284,avete rotto palle tirare fuori interviste radja sempre parte ,1
149280,meno male gia qualificati ottavi primi girone ragazzi irriconoscibili ps adoro dovevi esserci campo primo minuto youngboysjuve juve ucl,1
66738,stasera eroe togli leroe storia campo scrivendo fine senza lieto fine amala,1
14698,per me miglior acquisto dell inter tempi di,1
14699,belli sms,1
148565,congratulazioni anno scorso stagione importante so dimosterai forte quest anno infatti ogni volta vieni chiamato causa grandi prestazioni ,1
15007,complimenti te meriti convocazione migliore,1
15008,complimenti parata campione esemplare buon natale stefano ,1
90284,bravo meritato ,1
148560,sei sempre meglio grande capitano ,1
66509,buon anno te merda ,1
90286,mio nipote grandi soddisfazioni interforever,1
66508,io je vojo bene nonostante ,1
148554,forza roma ,1
148551,fratelli sorelle diretta 7ivebianconera bella sempre ma proprio tutto sappiamo ,1
148548,e forte attaccante dopo careca mostro,1
66501,ciaoo mauro grazie grande stagione invio creazione speriamo piaccia ,1
15006,resta juve ,1
90295,secondo qual cosa bella tiro januzaj giocata ,1
15022,non sempre puo vincere sempre puo essere top comunque bravi ragazzi ,1
66500,bella combinazione stretto pea lacazette tiro francese limite facile afcvwhu afc coyg,1
66497,in prima fila dirigere balli bravo blaise d,1
15028,ho letto luca gia incontrato dopo aver incontrato leggenda bianconera luca merita incontrare leggenda numero 1 fantastico ,1
90301,offrirti napoli accoglieremo braccia aperte grande,1
90303,ottima scelta ninja dell inter perdente perdenti,1
148532,e comunque complimenti qualificazione pochi veri signori mondo calcio barcellonatottenham,1
66493,torna casa napoli aspetta regalaci sogno rispondiamo juve el matador forzanapolisempre,1
148522,buon compleanno gallo ,1
148520,sei grandissimo paul forza pogboom ,1
15045,giocatore fisicamente soprattutto atleticamente straripante riesce coprire tutta fascia l esterno perfetto squadre giocano 352 tipo dire lazio ,1
15046,meraviglioso campione buona domenica te tantissimi auguri ,1
15021,grande medhi favolosi ragazzi bocca lupo x russia2018,1
90283,grande presidente ci gusto batterli,1
90282,se veramente preso arruvutat botto calcio mercato fatto credimi ricredero scelte,1
90280,tipica vittoria garra charrua impreziosita due gemme favoloso uru uruguayportogallo urupor,1
90216,professionalism personified ,1
148649,sei fuoriclasse campo fuori campo aiuti amare ancora calcio ,1
148648,grande uomo ,1
148647,sei grande tutti grande sempre gioia occhi grazie,1
14934,ma buongiorno tifosa fedele ,1
148640,che dolceeee alex potevi usare parole belle x far capire felicita stato bello vedervi giocare insieme grazie capitano ,1
14938,bravo maregolo ,1
148628,ti amiamo kalidou te orgogliosi te ,1
148627,auguri asa sempre noi ,1
148626,perche s smesso de fa tifo roma se fa tifo proprie idee cosi poi puoi fa er grosso co te pia culo je poi di eh sapevo te lavevo detto ce vo core coraggio tifa roma sempre e bisogna esse tifosi quindi sostenere ,1
90232,buon anno te daniela abbraccio fatto commuovere bisogna sostenere sempre squadra forza milan sempre ,1
66549,ma forti gioia pipita ditemelo fratelli sorelle bianconeri,1
90239,mi metto subito studiare advincula trovato pure faccia gia tifo yoshinar yotun sembra cartone animato sashimi ,1
148614,e sorriso vedo qualcosa bello stelle dybala xmas pd10 dybalanation 1 0 ,1
66542,mi raccomando fiducia mr dovessimo vince na partita ,1
66541,daje matteo miglior acquisto dell estate forza inter ,1
66539,c dire napoli segnato poco meraviglioso s paolo dopo fischi insulti vari top vero gonzalo ,1
90248,se merda foto meravigliosa ,1
66537, insieme permanenze big facci 5 acquisti sogneremo ,1
148599,grazie cuore stephan rimarrai sempre noi leggenda bianconera ,1
90260,ogni volta stupisci sempre ,1
148592,sempre attenti racismo grazie cr porco ,1
148591,finalmente buona partita ,1
14979,se metti l ultimo ce andiamo mr dj suona bombe mano metti l ultima ce andiamo mr dj sonno abbiamo,1
90273,sei grande ,1
14992,grazie capitano riportato champions dopo tanti anni forza inter sempre amala,1
14999,mancano ancora candreva depippamento completo ce possiamo fare ,1
66482,sono contento vittoria nigeria andare avanti mondiale molto importante juventini importante avervi felici carichi quando tornate torino forza ragazzi forzajuve,1
148514,non potuto ricevere regalo bello beniamini o scugnizzo ra champions marek o capitano slovacco hamsik davanti letto buonanotte buongiorno devono essere sempre accompagnati immenso forzanapolisempre,1
66478,forza felipe buona anno voi ,1
148504,vista bravura lamore mostrato grigliate amici aspettiamo spiaggia notte ferragosto s benedetto tronto griglia birra salsicce arrosticini portiamo noi daje concedicelo sera ,1
90379,ciao me resti fortissimo torna all dimostra pasta fatto ,1
148428,ciao buona vita,1
90382,sareste stati credibili fatto senza nessuna distinzione xcui proprio te alimentano razzismo xke nn nessuna logica intellettuale x capire disagi nn solo x pelle nera ,1
66420,buon natale tutti ,1
148423,auguri ,1
90386,cavaniiiiiiii siiiiiii matador grande ,1
66416,grandissimo ,1
90389,l eco meravigliosa giornata triste ,1
148417,il mister ieri lasciato molte speranze ringraziamenti ,1
66414,sai amato applaudito fino all ultimo giorno uomo meraviglioso qui napoli gente perbene adora mancherai tantissimo,1
148409,a piace ricordarlo cosi ,1
148407,nelle tifoserie tutte tifoserie c e buono marcio iniziamo scartare marcio lasciamo rimasto buono ,1
148406,troppo generoso sempre ,1
148405,rigori ancora rigori cazzo si colombiaengland fifaworldcup18 buena suerte ,1
148403,hei pagliaccio auguri vedo parli juventus migliori auguri ogni cattiveria torna sempre indietro bey bay povero te,1
66402,scudetto gol callejon complimenti ,1
90403,sono molto belli unica gioia giornata amarezza ,1
15151,magari ,1
66400,uruguayportogallo bello ma qualu messi qualu ronaldo cavani top player worldcup torna casa aspetta te,1
148394,caro accolto idolo dovesse capitare dovremo salutarci lascero andare morte cuore due anni dimostrato essere solo formidabile centravanti uomo controcazzi gracias por todo ,1
15156,sei il meglio grande grande,1
148389,il 2018 ricordero lanno presidente fatto regalo bello auguri buon anno presidente sempre juve ,1
15157,complimenti perfettamente capito momento parole ,1
148384,sei sempre stato idolo seconda persona seguo dopo juventus grazie cuore scelto numero 1 mondo vediamo presto ciao cr7,1
90412,congratulation dries adesso apettiamo napoli grande grande dries ,1
15163,sei bellissima ,1
148376,mi sorpreso e nuovo acquisto effetti ,1
